cohort,method,k,sens_median,sens_p2.5,sens_p97.5,spec_median,spec_p2.5,spec_p97.5,recovery_median,recovery_p2.5,recovery_p97.5,frac_degenerate,frac_fit_failed
gdph,M3,30,0.8865817263544535,0.6422346850733391,0.9890281353023529,0.8,0.213379917184265,0.9521585595485426,1.0820941241993873,-0.734587542087542,1.5601763907734056,0.0,0.0
gdph,M3,50,0.8969904375163741,0.7459100566572238,0.9829314782439782,0.7792653979094657,0.3397405996296824,0.9092078877005347,1.0223076072534276,-0.34250000000000014,1.4053334672559261,0.0,0.0
gdph,M3,100,0.8957045401082098,0.7801097531751737,0.9693251533742331,0.7812916666666667,0.5278448548812665,0.8876361299369011,1.0241935483870968,0.2312769010043042,1.3362258953168042,0.0,0.0
gdph,M3,200,0.9028776978417267,0.8220514087361913,0.9575971731448764,0.7713414634146342,0.6435807617458994,0.8503434249133102,0.9818166790643856,0.5983473389355742,1.2361068111455107,0.0,0.0
sysucc,M1,10,0.9086483752686813,0.5757866072881396,0.9986033519553073,0.5541964667766979,0.045454545454545456,0.8781939866147237,0.8518518518518519,-4.555555555555555,4.340598290598289,0.024,0.0
sysucc,M1,20,0.9038868777918954,0.7129382685277501,0.9915197300601731,0.5628289308806576,0.17482517482517482,0.7881624953993375,1.0,-3.1851851851851856,3.333333333333334,0.0,0.0
sysucc,M1,30,0.9043539841043406,0.7524789377289377,0.9814285714285714,0.5622775800711743,0.2822841726618705,0.7644394627537751,1.0,-2.0392692307692304,3.094871794871793,0.0,0.0
sysucc,M1,50,0.9127905134331764,0.7993766123450575,0.9789907735085945,0.5349269426760201,0.30286846486846486,0.7161596983683984,0.6923076923076921,-1.8040384615384617,2.540384615384614,0.0,0.0
sysucc,M1,100,0.9026272789817682,0.8253197191359031,0.9670598682662903,0.5637065637065637,0.3856251965577379,0.6915898380727278,1.0,-0.9784090909090912,2.374999999999999,0.0,0.0
sysucc,M1,200,0.9046395176838432,0.84600751311359,0.9497856860146444,0.5605071418265762,0.44463651840046364,0.6629783544606553,1.0,-0.26709486166007895,2.0,0.0,0.0
sysucc,M2a,10,0.9261837008242115,0.7977539837537543,1.0,0.48606254856254855,0.0,0.7138111888111888,0.11111111111111137,-5.0740740740740735,2.5971153846153836,0.024,0.072
sysucc,M2a,20,0.923943661971831,0.8130818053596615,0.9985955056179775,0.49734975690441585,0.010474243456752741,0.7017543859649122,0.26424501424501434,-4.982407407407404,2.463111111111111,0.0,0.014
sysucc,M2a,30,0.9209033236244664,0.8497553191489362,0.9915014112273698,0.505338078291815,0.19768317350913994,0.666715496860462,0.3333333333333337,-2.9726139601139585,2.057158119658118,0.0,0.006
sysucc,M2a,50,0.9275360796809067,0.8682969967328474,0.9796653173110635,0.4833948339483395,0.30556989832488257,0.628071389042612,0.08514492753623182,-1.834259259259259,1.692307692307693,0.0,0.0
sysucc,M2a,100,0.9258698940998488,0.889141163920825,0.9694962156828062,0.49045787625832205,0.3783494392746361,0.5817490494296578,0.18706293706293695,-1.0619755244755242,1.1307692307692292,0.0,0.0
sysucc,M2a,200,0.9272097053726169,0.8995328700347179,0.9606227202889882,0.4866664032869785,0.42460227272727274,0.5534090909090909,0.13043478260869587,-0.42857142857142866,0.8974999999999997,0.0,0.0
